iter        J                  ΔJ                   |d|             α       
335   948.8122290185642    1.428743796119861   8.683346953293203    1.0 
336   947.8443568445397    0.48756288859622526   1.0572219565666958    1.0 
337   947.3524041418528    0.45978576711387364   0.8866077422489349    1.0 
338   946.8768030795969    1.9720694597681623   1.4181626353816388    1.0 
339   945.1911130996585    0.8609009202602594   2.4866156330811258    1.0 
340   944.4351646904996    0.6067090883916826   1.0827273361267609    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
341   943.8151440370501    1.3431464029225586   8.150310551404912    1.0 
342   942.8689990030446    0.604837547208591   1.0385198944408986    1.0 
343   942.2562917674413    1.5105057276196772   1.2222977471374852    1.0 
344   940.9188570294192    0.676483329145514   1.2756157855510206    1.0 
345   940.2617117017139    0.8008413775558144   2.7519110811525045    1.0 
346   939.4888142033865    2.191530295590728   10.5523029122049    1.0 
347   938.0231787992788    0.6052346646619172   1.2967539008738034    1.0 
348   937.4279624652823    0.5418527743482103   1.228147987112348    1.0 
349   936.8730200617638    0.4949349826807124   1.1162482103644127    1.0 
350   936.365321803658    0.6085160134505007   1.2723660271906239    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
351   935.7554098217361    0.5384358000843539   1.0340429116171848    1.0 
352   935.2028742525015    0.7205089002102452   2.321552991912722    1.0 
353   934.5017769394301    1.8059970759865343   10.02127318084789    1.0 
354   933.3148872109498    0.5632854130307409   1.1101380660852047    1.0 
355   932.7433909657924    0.477926742690404   1.0586180952314932    1.0 
356   932.2523501137011    0.5074640387090413   0.9745807276897315    1.0 
357   931.7342211515896    0.4978606845355989   0.9074209371187582    1.0 
358   931.2228471817335    0.5257908494104457   2.1268442697796335    1.0 
359   930.7085320609933    0.5720762602474284   1.1843246872193431    1.0 
360   930.1288238724932    0.550719887805863   1.076373419891476    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
361   929.5684198213639    1.402903147891874   8.608254173260422    1.0 
362   928.6179234789776    0.5829118972987203   0.8826245852739434    1.0 
363   928.0325865142255    0.46486193526178254   0.9296381299442147    1.0 
364   927.5560844327769    0.5523164813413967   0.8212686614719694    1.0 
365   926.9911356892195    1.6182033344713433   2.4773061726853345    1.0 
366   925.5831489090042    0.688014447827646   1.185912039118721    1.0 
367   924.9513054131617    0.5152220197381531   1.0083382140617072    1.0 
368   924.4299723438262    1.2697661863722696   8.126089629135022    1.0 
369   923.562965841255    0.41646685763746716   0.9455788689768085    1.0 
370   923.1376362684629    0.42225955536989507   0.8678781974582542    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
371   922.70422838635    0.5042152598201494   0.7783257850634498    1.0 
372   922.1897744863351    0.49664785801543543   2.12913759799751    1.0 
373   921.7063308850031    0.44257847337725015   0.8047287106401869    1.0 
374   921.2547710466665    2.405361104524075   10.866882266801136    1.0 
375   919.6427695498484    0.4755762509794827   1.069328036339629    1.0 
376   919.1855623139903    0.4050544017607223   0.9193264750430817    1.0 
377   918.7711553542946    0.46499380993347034   1.273371338103457    1.0 
378   918.3168245082044    0.4273015328483829   0.8467946164511567    1.0 
